"","county","swing","change_query_incidence","state","lat_long.lon","lat_long.lat"
"1","YUMA",6.413024e-02,  0,"ARIZONA",-114.62769,  32.69265
"2","YUMA",9.503682e-02,  0,"COLORADO",-102.72521,  40.12221
"3","DALE",3.291655e-02,-14,"ALABAMA", -85.68458,  31.46453
"4","LAUDERDALE",9.349328e-02,-14,"ALABAMA", -87.65811,  34.88409
"5","MIAMI",1.838857e-01,-14,"INDIANA", -86.10649,  40.61405
"6","MIAMI",9.446781e-02,-14,"KANSAS", -94.81060,  38.63817
"7","LAUDERDALE",1.660334e-02,-14,"MISSISSIPPI", -88.51171,  32.52085
"8","MIAMI",9.338736e-02,-14,"OHIO", -84.73449,  39.50875
"9","LAUDERDALE",8.210417e-02,-14,"TENNESSEE", -89.66281,  35.78388
"10","BROWN",1.802163e-01, 20,"ILLINOIS", -90.71527,  39.93796
"11","ALLEN",8.055614e-02, 20,"INDIANA", -85.02335,  41.09326
"12","BROWN",1.527669e-01, 20,"INDIANA", -86.17518,  39.17497
"13","ALLEN",9.942778e-02, 20,"KANSAS", -96.16972,  38.65612
"14","BROWN",7.716348e-02, 20,"KANSAS", -95.47778,  39.77005
"15","ALLEN",1.053289e-01, 20,"KENTUCKY", -82.72797,  37.61005
"16","ALLEN",7.871740e-02, 20,"LOUISIANA", -93.28833,  31.83528
"17","BROWN",1.361793e-01, 20,"MINNESOTA", -94.64503,  44.22944
"18","BROWN",1.052601e-01, 20,"NEBRASKA", -99.99123,  42.50529
"19","ALLEN",9.101891e-02, 20,"OHIO", -84.14351,  40.76995
"20","BROWN",1.509586e-01, 20,"OHIO", -84.08016,  40.13739
"21","BROWN",1.665678e-01, 20,"SOUTH DAKOTA", -98.25427,  45.75815
"22","BROWN",7.086797e-02, 20,"TEXAS", -98.92453,  31.77051
"23","BROWN",1.037327e-01, 20,"WISCONSIN", -87.93348,  44.45617
"24","ALPENA",1.703747e-01,  9,"MICHIGAN", -83.43275,  45.06168
"25","WASHINGTON",6.959810e-02,-37,"ALABAMA", -88.24612,  31.34223
"26","WASHINGTON",1.256648e-02,-37,"ARKANSAS", -93.68302,  33.77484
"27","WASHINGTON",9.941310e-02,-37,"COLORADO",-102.98962,  40.06374
"28","WASHINGTON",5.161885e-02,-37,"FLORIDA", -85.68458,  30.54874
"29","WASHINGTON",1.910374e-02,-37,"GEORGIA", -82.73931,  33.73679
"30","WASHINGTON",9.028963e-02,-37,"IDAHO",-116.75486,  44.36587
"31","WASHINGTON",2.213420e-01,-37,"ILLINOIS", -89.40731,  40.70365
"32","WASHINGTON",1.686344e-01,-37,"INDIANA", -87.17279,  38.65922
"33","WASHINGTON",1.065255e-01,-37,"IOWA", -91.69164,  41.30141
"34","WASHINGTON",7.675230e-02,-37,"KANSAS", -97.05086,  39.81806
"35","WASHINGTON",1.024456e-01,-37,"KENTUCKY", -83.80850,  38.61615
"36","WASHINGTON",2.193591e-02,-37,"LOUISIANA", -92.05706,  30.61631
"37","WASHINGTON",1.046625e-01,-37,"MAINE", -69.36766,  44.27356
"38","WASHINGTON",9.432550e-02,-37,"MARYLAND", -77.69942,  39.61305
"39","WASHINGTON",1.196933e-02,-37,"MINNESOTA", -92.88014,  45.18815
"40","WASHINGTON",1.012311e-02,-37,"MISSISSIPPI", -91.29928,  31.57878
"41","WASHINGTON",2.856455e-01,-37,"MISSOURI", -91.01209,  38.55811
"42","WASHINGTON",1.050478e-01,-37,"NEBRASKA", -96.20808,  41.39750
"43","WASHINGTON",1.034631e-01,-37,"NEW YORK", -73.67717,  41.78757
"44","WASHINGTON",6.109648e-03,-37,"NORTH CAROLINA", -77.05217,  35.54655
"45","WASHINGTON",1.396470e-01,-37,"OHIO", -83.43758,  39.53737
"46","WASHINGTON",3.524850e-02,-37,"OKLAHOMA", -97.48448,  35.05896
"47","WASHINGTON",3.467400e-02,-37,"OREGON",-123.13860,  45.54696
"48","WASHINGTON",1.043627e-01,-37,"PENNSYLVANIA", -80.24617,  40.17396
"49","WASHINGTON",5.059921e-02,-37,"RHODE ISLAND", -71.66734,  41.45681
"50","WASHINGTON",5.467583e-02,-37,"TENNESSEE", -82.51858,  36.33210
"51","WASHINGTON",4.782680e-02,-37,"TEXAS", -96.36516,  30.23530
"52","WASHINGTON",3.055922e-02,-37,"UTAH",-113.50829,  37.13054
"53","WASHINGTON",1.039306e-02,-37,"VERMONT", -72.43260,  44.10562
"54","WASHINGTON",1.107558e-01,-37,"VIRGINIA", -78.15908,  38.71343
"55","WASHINGTON",6.284383e-02,-37,"WISCONSIN", -91.38370,  44.73805
"56","YORK",7.893053e-02,-14,"MAINE", -70.64826,  43.16175
"57","YORK",4.745923e-02,-14,"NEBRASKA", -97.59209,  40.86739
"58","NEW YORK",3.497259e-02,-14,"NEW YORK", -74.00597,  40.71278
"59","YORK",8.346704e-02,-14,"PENNSYLVANIA", -76.72696,  39.96107
"60","YORK",2.640108e-02,-14,"SOUTH CAROLINA", -81.24202,  34.99430
"61","YORK",2.414233e-04,-14,"VIRGINIA", -76.50967,  37.23876
"62","EL PASO",2.847305e-02, 17,"COLORADO",-104.47233,  38.91083
"63","EL PASO",6.315448e-02, 17,"TEXAS",-106.48502,  31.76188
"64","PALM BEACH",3.610478e-02, -9,"FLORIDA", -80.03643,  26.70562
"65","PIERCE",6.021753e-02, -9,"GEORGIA", -82.17136,  31.34381
"66","PIERCE",1.359186e-01, -9,"NEBRASKA", -97.52672,  42.19917
"67","PIERCE",1.476762e-01, -9,"NORTH DAKOTA",-100.69235,  46.78999
"68","PIERCE",2.179937e-02, -9,"WASHINGTON",-122.12953,  47.06759
"69","PIERCE",1.192739e-01, -9,"WISCONSIN", -87.49011,  44.53212
"70","LOS ANGELES",5.607059e-02, -4,"CALIFORNIA",-118.24264,  34.05491
"71","GRAND",6.676569e-02,  8,"COLORADO",-106.06402,  40.07274
"72","MONTROSE",7.204469e-02,  8,"COLORADO",-107.87617,  38.47832
"73","GRAND",2.679170e-02,  8,"UTAH",-109.75917,  39.08579
"74","MONTEREY",2.343814e-02,-15,"CALIFORNIA",-121.89777,  36.59729
"75","FRESNO",2.194987e-02,-21,"CALIFORNIA",-119.78712,  36.73780
"76","HOUSTON",3.709313e-02,-18,"ALABAMA", -87.25807,  34.14149
"77","HOUSTON",9.231702e-03,-18,"GEORGIA", -83.63484,  32.42197
"78","HOUSTON",1.299570e-01,-18,"MINNESOTA", -91.56848,  43.76330
"79","HOUSTON",2.265305e-01,-18,"TENNESSEE", -87.91781,  35.24147
"80","HOUSTON",6.972401e-02,-18,"TEXAS", -95.37011,  29.76008
"81","SIERRA",2.638361e-02,  5,"CALIFORNIA",-120.25127,  39.55328
"82","SIERRA",8.930364e-02,  5,"NEW MEXICO",-107.10119,  33.13460
"83","EUREKA",1.105416e-01,  3,"NEVADA",-115.96078,  39.51249
"84","SAN DIEGO",5.422487e-02, -2,"CALIFORNIA",-117.16108,  32.71574
"85","CHESTER",3.183991e-03,-11,"PENNSYLVANIA", -75.35575,  39.84956
"86","CHESTER",6.681725e-02,-11,"SOUTH CAROLINA", -81.21426,  34.70486
"87","CHESTER",8.493215e-02,-11,"TENNESSEE", -88.67236,  35.42709
"88","SAN FRANCISCO",4.116633e-02,-36,"CALIFORNIA",-122.41942,  37.77493
"89","OAKLAND",3.100238e-02,-36,"MICHIGAN", -83.33619,  42.59219
"90","SACRAMENTO",3.497694e-02, -5,"CALIFORNIA",-121.49442,  38.57813
"91","SAC",1.993680e-01, -5,"IOWA", -95.14321,  42.35735
"92","HARTFORD",4.051177e-02, -1,"CONNECTICUT", -72.67337,  41.76580
"93","NEW HAVEN",5.325099e-02, -1,"CONNECTICUT", -72.92788,  41.30827
"94","HART",7.795211e-02, -1,"GEORGIA", -82.95016,  34.35000
"95","FORD",1.132507e-01, -1,"ILLINOIS", -88.20716,  40.49886
"96","FORD",4.708201e-02, -1,"KANSAS", -99.75402,  37.63613
"97","HART",9.706544e-02, -1,"KENTUCKY", -85.84862,  37.31013
"98","PASCO",9.377816e-02,  0,"FLORIDA", -82.43194,  28.32324
"99","RICHLAND",2.072638e-01,  0,"ILLINOIS", -88.09008,  38.72128
"100","RICHLAND",3.108556e-02,  0,"LOUISIANA", -91.79284,  32.38873
"101","RICHLAND",1.276807e-01,  0,"MONTANA",-104.80175,  47.92005
"102","RICHLAND",1.717453e-01,  0,"NORTH DAKOTA", -96.89587,  46.15468
"103","RICHLAND",1.251351e-01,  0,"OHIO", -82.51858,  40.75667
"104","RICHLAND",2.719628e-02,  0,"SOUTH CAROLINA", -80.94289,  34.04122
"105","RICH",4.091787e-02,  0,"UTAH",-111.18912,  41.56297
"106","YAKIMA",1.767847e-02,  0,"WASHINGTON",-120.50610,  46.60223
"107","RICHLAND",1.338510e-01,  0,"WISCONSIN", -90.38679,  43.33471
"108","TWIN FALLS",7.258677e-02,  2,"IDAHO",-114.47005,  42.55584
"109","FALLS",7.209895e-02,  2,"TEXAS", -97.00684,  31.16364
"110","FORD",1.132507e-01, -1,"ILLINOIS", -88.20716,  40.49886
"111","FORD",4.708201e-02, -1,"KANSAS", -99.75402,  37.63613
"112","BEDFORD",1.160047e-01, -1,"PENNSYLVANIA", -78.50391,  40.01869
"113","PROVIDENCE",6.268949e-02, -1,"RHODE ISLAND", -71.41420,  41.82456
"114","BEDFORD",1.016258e-01, -1,"TENNESSEE", -86.45921,  35.47025
"115","BEDFORD",6.926905e-02, -1,"VIRGINIA", -79.52309,  37.33431
"116","BAKER",4.132448e-02, -3,"FLORIDA", -86.68134,  30.79713
"117","BAKER",4.923599e-02, -3,"GEORGIA", -84.48026,  31.28160
"118","BAKER",1.075517e-01, -3,"OREGON",-117.83438,  44.77487
"119","BALTIMORE",1.935071e-02, -2,"MARYLAND", -76.61041,  39.29050
"120","HONOLULU",4.799862e-02,  1,"HAWAII",-157.85814,  21.30988
"121","DALLAS",1.625973e-02,-16,"ALABAMA", -87.14229,  32.23321
"122","DALLAS",2.002324e-02,-16,"ARKANSAS", -94.21910,  34.53594
"123","WORTH",5.826991e-02,-16,"GEORGIA", -83.88971,  31.52825
"124","DALLAS",2.379946e-02,-16,"IOWA", -93.98784,  41.61200
"125","WORTH",2.301292e-01,-16,"IOWA", -93.33889,  43.35807
"126","DALLAS",1.742614e-01,-16,"MISSOURI", -93.01757,  37.68530
"127","WORTH",1.821265e-01,-16,"MISSOURI", -94.44413,  40.40499
"128","DALLAS",5.975469e-02,-16,"TEXAS", -96.79699,  32.77666
"129","MIDLAND",8.580872e-02, -6,"MICHIGAN", -84.24721,  43.61558
"130","MIDLAND",1.925367e-03, -6,"TEXAS",-102.07567,  31.99958
"131","RICHMOND",6.197155e-03, -5,"GEORGIA", -82.08429,  33.32053
"132","RICHMOND",5.731382e-02, -5,"NEW YORK", -77.53901,  42.82148
"133","RICHMOND",5.738136e-02, -5,"NORTH CAROLINA", -79.78484,  35.00305
"134","RICH",4.091787e-02, -5,"UTAH",-111.18912,  41.56297
"135","PETERSBURG",4.624841e-03, -5,"VIRGINIA", -77.40193,  37.22793
"136","RICHMOND",5.774781e-02, -5,"VIRGINIA", -77.43605,  37.54072
"137","AUSTIN",4.901439e-02,-15,"TEXAS", -97.74306,  30.26715
"138","PEORIA",5.390018e-02, -5,"ILLINOIS", -89.59278,  40.69269
"139","LINCOLN",6.718600e-02, -2,"ARKANSAS", -94.42347,  35.94760
"140","LINCOLN",6.352384e-02, -2,"COLORADO",-103.35873,  39.04575
"141","LINCOLN",6.090213e-02, -2,"GEORGIA", -82.47902,  33.79235
"142","LINCOLN",7.353606e-02, -2,"IDAHO",-111.96441,  43.51297
"143","LINCOLN",6.949420e-02, -2,"KANSAS", -98.14770,  39.04033
"144","LINCOLN",1.022794e-01, -2,"KENTUCKY", -84.64791,  37.47513
"145","LINCOLN",3.866434e-02, -2,"LOUISIANA", -92.69839,  32.59889
"146","LINCOLN",4.850474e-02, -2,"MAINE", -68.50459,  45.36221
"147","LINCOLN",1.961885e-01, -2,"MINNESOTA", -94.64085,  46.21024
"148","LINCOLN",4.097881e-02, -2,"MISSISSIPPI", -90.52578,  31.53592
"149","LINCOLN",2.070256e-01, -2,"MISSOURI", -93.33465,  38.39086
"150","LINCOLN",1.138208e-01, -2,"MONTANA",-112.68171,  46.95494
"151","KEARNEY",1.040672e-01, -2,"NEBRASKA", -99.08168,  40.69933
"152","LINCOLN",1.248905e-01, -2,"NEBRASKA", -96.70258,  40.81366
"153","LINCOLN",1.112389e-01, -2,"NEVADA",-114.52426,  37.66083
"154","LINCOLN",8.736514e-02, -2,"NEW MEXICO",-105.38387,  33.49203
"155","LINCOLN",7.568334e-02, -2,"NORTH CAROLINA", -81.25453,  35.47375
"156","LINCOLN",6.782457e-02, -2,"OKLAHOMA", -96.83510,  35.63426
"157","LINCOLN",6.398115e-02, -2,"OREGON",-123.94236,  44.60955
"158","LINCOLN",8.012876e-02, -2,"SOUTH DAKOTA", -96.83510,  43.20269
"159","LINCOLN",8.866834e-02, -2,"TENNESSEE", -86.62079,  35.12394
"160","LINCOLN",1.158069e-01, -2,"WASHINGTON",-118.41499,  47.82905
"161","LINCOLN",2.387584e-01, -2,"WEST VIRGINIA", -82.08429,  38.17610
"162","LINCOLN",1.737640e-01, -2,"WISCONSIN", -87.64204,  44.61805
"163","LINCOLN",7.926978e-02, -2,"WYOMING",-110.52155,  42.07033
"164","DENVER",2.989815e-02, -9,"COLORADO",-104.99025,  39.73924
"165","DAY",1.909388e-01, -3,"SOUTH DAKOTA", -97.70237,  45.41675
"166","HARRIS",2.706843e-02,  3,"GEORGIA", -84.85679,  32.70327
"167","HARRISON",1.387135e-01,  3,"INDIANA", -87.42222,  39.52861
"168","HARRISON",1.732860e-01,  3,"IOWA", -95.81429,  41.69339
"169","HARRISON",1.201131e-01,  3,"KENTUCKY", -83.17410,  38.60588
"170","HARRISON",2.500406e-02,  3,"MISSISSIPPI", -89.01793,  30.43209
"171","HARRISON",1.765807e-01,  3,"MISSOURI", -94.34884,  38.65334
"172","HARRISON",2.387443e-01,  3,"OHIO", -84.79160,  39.25370
"173","HARRIS",5.637166e-02,  3,"TEXAS", -95.31025,  29.77518
"174","HARRISON",6.583882e-02,  3,"TEXAS", -94.31542,  32.55392
"175","HARRISONBURG",3.721958e-02,  3,"VIRGINIA", -78.86978,  38.44600
"176","HARRISON",1.415107e-01,  3,"WEST VIRGINIA", -80.36586,  39.33481
"177","BUTTE",3.267689e-02, -1,"CALIFORNIA",-121.53700,  39.62540
"178","BUTTE",8.246526e-02, -1,"IDAHO",-113.18414,  43.64482
"179","BUTTE",1.447280e-01, -1,"SOUTH DAKOTA",-103.70089,  44.92520
"180","RENO",7.506830e-02,  6,"KANSAS", -95.11997,  39.05111
"181","THOMAS",3.164744e-02, 11,"GEORGIA", -83.84730,  30.84174
"182","THOMAS",7.726392e-02, 11,"KANSAS",-101.07118,  39.37029
"183","THOMAS",5.329395e-02, 11,"NEBRASKA",-100.52961,  41.98821
"184","VICTORIA",3.678152e-02,  7,"TEXAS", -97.00360,  28.80527
"185","SAN LUIS OBISPO",1.683451e-02, -9,"CALIFORNIA",-120.65962,  35.28275
"186","SANTA BARBARA",3.836689e-02, -9,"CALIFORNIA",-119.69894,  34.42028
"187","LAKE",7.891868e-02,  9,"CALIFORNIA",-122.21320,  40.35507
"188","LAKE",7.301424e-02,  9,"COLORADO",-100.93652,  32.34976
